ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-08-16T21:44:50Z,XRPUSDT,BUY,WATCH,0.99570000,0.99570000,10.04318570,0.0000,0.0000,2.27,SEED_START
2026-08-16T21:44:50Z,HBARUSDT,BUY,WATCH,0.06479000,0.06479000,154.34480630,0.0000,0.0000,2.32,SEED_START
2026-08-16T21:44:51Z,QAITUSDT,BUY,IMPULSE_WAIT,0.00314400,0.00314400,3180.66157761,0.0000,0.0000,12.59,SEED_START
2026-08-16T21:44:52Z,RIZEUSDT,BUY,IMPULSE_WAIT,0.00517800,0.00517800,1931.24758594,0.0000,0.0000,13.66,SEED_START
2026-08-16T21:44:53Z,ZBCNUSDT,BUY,WATCH,0.00156550,0.00156550,6387.73554775,0.0000,0.0000,5.49,SEED_START
2026-08-16T21:44:53Z,WUSDT,BUY,WATCH,0.00843600,0.00843600,1185.39592224,0.0000,0.0000,4.60,SEED_START
2026-08-16T21:44:54Z,REDUSDT,BUY,IMPULSE_WAIT,0.08724000,0.08724000,114.62631820,0.0000,0.0000,4.21,SEED_START
2026-08-16T21:44:56Z,CCUSDT,BUY,COOLING,0.09525000,0.09525000,104.98687664,0.0000,0.0000,8.08,SEED_START
2026-08-16T21:44:56Z,PYTHUSDT,BUY,WATCH,0.03846000,0.03846000,260.01040042,0.0000,0.0000,4.70,SEED_START
2026-08-16T21:44:58Z,BIOUSDT,BUY,COOLING,0.02404000,0.02404000,415.97337770,0.0000,0.0000,6.52,SEED_START
2026-08-16T21:44:58Z,KITEUSDT,BUY,WATCH,0.09364000,0.09364000,106.79196924,0.0000,0.0000,5.90,SEED_START
2026-08-16T21:44:59Z,TELUSDT,BUY,COOLING,0.00143900,0.00143900,6949.27032662,0.0000,0.0000,6.73,SEED_START
2026-08-16T21:44:59Z,CHIPUSDT,BUY,IMPULSE_WAIT,0.02906000,0.02906000,344.11562285,0.0000,0.0000,6.33,SEED_START
2026-08-16T21:44:59Z,RWAINCUSDT,BUY,IMPULSE_WAIT,0.00177500,0.00177500,5633.80281690,0.0000,0.0000,8.82,SEED_START
2026-08-16T21:45:00Z,EDELUSDT,BUY,COOLING,0.00766000,0.00766000,1305.48302872,0.0000,0.0000,12.57,SEED_START
2026-08-17T01:22:33Z,RIZEUSDT,SELL_PARTIAL,IMPULSE_WAIT,0.00568400,0.00517800,482.81189649,0.2443,0.2443,13.66,rip_9.8pct_palier1_sell_25pct tier=B spread=58.9bps
2026-08-17T01:23:10Z,RIZEUSDT,SELL_PARTIAL,IMPULSE_WAIT,0.00565300,0.00517800,482.81189649,0.2293,0.4736,13.66,rip_9.2pct_palier2_sell_25pct tier=B spread=58.9bps
2026-08-17T06:41:35Z,CHIPUSDT,SELL_PARTIAL,IMPULSE_WAIT,0.03082000,0.02906000,86.02890571,0.1514,0.6250,6.33,rip_6.1pct_palier1_sell_25pct tier=A spread=0.0bps
2026-08-17T06:45:56Z,CHIPUSDT,SELL_PARTIAL,IMPULSE_WAIT,0.03164000,0.02906000,86.02890571,0.2220,0.8470,6.33,rip_8.9pct_palier2_sell_25pct tier=A spread=0.0bps
2026-08-17T10:44:16Z,HBARUSDT,SELL_PARTIAL,WATCH,0.06609000,0.06479000,38.58620157,0.0502,0.8972,2.32,rip_2.0pct_palier1_sell_25pct tier=A spread=7.2bps
2026-08-17T22:59:02Z,CHIPUSDT,SELL,IMPULSE_WAIT,0.02723000,0.02906000,172.05781142,-0.3149,0.5823,6.33,stop-6.0%_avant_2x tier=A spread=0.0bps
2026-08-17T23:00:12Z,CHIPUSDT,SKIP,IMPULSE,0.02733000,0.02733000,,0.0000,0.5823,6.36,SKIP_COOLDOWN:stop@2026-08-17T22:59:02Z count=4 left≈239m
2026-08-17T23:00:51Z,CHIPUSDT,SKIP,IMPULSE,0.02733000,0.02733000,,0.0000,0.5823,6.36,SKIP_COOLDOWN:stop@2026-08-17T22:59:02Z count=4 left≈238m
2026-08-18T04:53:52Z,REDUSDT,SELL_PARTIAL,IMPULSE_WAIT,0.10333000,0.08724000,28.65657955,0.4611,1.0434,4.21,rip_18.4pct_palier1_sell_25pct tier=A spread=7.0bps
2026-08-18T04:55:13Z,REDUSDT,SELL_PARTIAL,IMPULSE_WAIT,0.10284000,0.08724000,28.65657955,0.4470,1.4904,4.21,rip_17.9pct_palier2_sell_25pct tier=A spread=7.0bps
2026-08-18T12:40:33Z,QAITUSDT,SELL,IMPULSE_WAIT,0.00276000,0.00314400,3180.66157761,-1.2214,0.2691,12.59,stop-10.07%_avant_2x tier=B spread=326.8bps
2026-08-18T12:44:52Z,QAITUSDT,SKIP,IMPULSE,0.00251600,0.00251600,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈236m
2026-08-18T12:44:52Z,QAITUSDT,SKIP,IMPULSE,0.00251600,0.00251600,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈236m
2026-08-18T12:45:31Z,QAITUSDT,SKIP,IMPULSE,0.00240400,0.00240400,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈235m
2026-08-18T12:46:13Z,QAITUSDT,SKIP,IMPULSE,0.00250000,0.00250000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈234m
2026-08-18T12:47:26Z,QAITUSDT,SKIP,IMPULSE,0.00252200,0.00252200,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈233m
2026-08-18T12:48:06Z,QAITUSDT,SKIP,IMPULSE,0.00252200,0.00252200,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈232m
2026-08-18T12:48:48Z,QAITUSDT,SKIP,IMPULSE,0.00252600,0.00252600,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈232m
2026-08-18T12:49:52Z,QAITUSDT,SKIP,IMPULSE,0.00253300,0.00253300,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈231m
2026-08-18T12:50:32Z,QAITUSDT,SKIP,IMPULSE,0.00253300,0.00253300,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈230m
2026-08-18T12:51:13Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈229m
2026-08-18T12:52:21Z,QAITUSDT,SKIP,IMPULSE,0.00253900,0.00253900,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈228m
2026-08-18T12:53:02Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈228m
2026-08-18T12:53:44Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈227m
2026-08-18T12:54:49Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈226m
2026-08-18T12:55:31Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈225m
2026-08-18T12:56:11Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈224m
2026-08-18T12:57:18Z,QAITUSDT,SKIP,IMPULSE,0.00254000,0.00254000,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈223m
2026-08-18T12:57:57Z,QAITUSDT,SKIP,IMPULSE,0.00252700,0.00252700,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈223m
2026-08-18T12:58:37Z,QAITUSDT,SKIP,IMPULSE,0.00252100,0.00252100,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈222m
2026-08-18T12:59:43Z,QAITUSDT,SKIP,IMPULSE,0.00249500,0.00249500,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈221m
2026-08-18T13:00:26Z,QAITUSDT,SKIP,IMPULSE,0.00254100,0.00254100,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈220m
2026-08-18T13:01:05Z,QAITUSDT,SKIP,IMPULSE,0.00251800,0.00251800,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈219m
2026-08-18T13:02:18Z,QAITUSDT,SKIP,IMPULSE,0.00258900,0.00258900,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈218m
2026-08-18T13:03:03Z,QAITUSDT,SKIP,IMPULSE,0.00255300,0.00255300,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈217m
2026-08-18T13:03:44Z,QAITUSDT,SKIP,IMPULSE,0.00255600,0.00255600,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈217m
2026-08-18T13:04:47Z,QAITUSDT,SKIP,IMPULSE,0.00256600,0.00256600,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈216m
2026-08-18T13:05:30Z,QAITUSDT,SKIP,IMPULSE,0.00255800,0.00255800,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈215m
2026-08-18T13:06:09Z,QAITUSDT,SKIP,IMPULSE,0.00256700,0.00256700,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈214m
2026-08-18T13:07:10Z,QAITUSDT,SKIP,IMPULSE,0.00253500,0.00253500,,0.0000,0.2691,12.96,SKIP_COOLDOWN:stop@2026-08-18T12:40:33Z count=5 left≈213m
